year_month,patient_uuid,Region,Company,survey_result,sessions
202104,bf728334-f122-4070-ad90-6e95d93cba12,Lisboa,MedicoTech,10,2
202104,2930f901-69ca-4191-ac1e-04e837ed4d2d,Porto,MedicoTech,,2
202104,8ec034a1-50fc-4f70-ae69-0150f423efbd,Coimbra,VitaLife,,5
202104,6810ed87-0840-4e9d-b64d-b68ce930cad6,Lisboa,VitaLife,7,35
202104,6194c31e-010c-45e8-b3a9-8213f347c320,Porto,HealthPlus,8,35
202104,9c07796f-6d88-472a-98cd-9a82fc1d6482,Porto,HealthPlus,9,35
202104,7867ae05-d0dc-4e7a-b2b1-3707f34a7120,Lisboa,HealthPlus,7,33
202104,0d6983cd-53fc-4e5c-b1fa-dba3e4840e85,Lisboa,HealthPlus,8,33
202104,b058dd65-eadb-45e1-981b-7d5554de7610,Lisboa,VitaLife,9,33
202104,2aa7ff49-00ff-48a2-8c6a-53deac040104,Porto,MedicoTech,10,33
202104,64e030e0-3b7c-42c8-bcf0-eb794cf94f1c,Lisboa,MedicoTech,,2
202104,e1922b52-cb66-424f-9b37-841aa5040c5f,Lisboa,VitaLife,6,15
202104,7d18b899-212f-4c0d-9a82-cfba9d0a8223,Coimbra,MedicoTech,7,15
202104,9f08db7e-88c5-4652-891c-2d960bf7bdcc,Coimbra,MedicoTech,6,26
202104,6a957408-0827-4d50-83b9-e4a0ef99e983,Coimbra,VitaLife,8,26
202104,9ab4a4a2-e4b2-47a6-81bc-3dd9c863457a,Coimbra,VitaLife,9,26
202104,ea19b887-796d-429d-a79f-d4344b2a0c73,Lisboa,MedicoTech,10,26
202104,99b5cfc6-9b81-496c-b7da-33f7f3bd625b,Lisboa,CareWell,5,25
202104,2ca9a41a-7f74-41b5-b84c-77678663e1a5,Lisboa,MedicoTech,10,25
202104,ab8dcd74-d681-4693-a2a4-3321ab6cd7c2,Coimbra,VitaLife,10,29
202104,b6a76fa1-9ed7-4f5a-a595-54e169add6ce,Lisboa,HealthPlus,6,65
202104,9e532ba4-2ed7-41f4-9686-8625384de49e,Lisboa,MedicoTech,7,65
202104,b4ba04cc-8546-4fe5-90f8-67f6373ba8ba,Lisboa,MedicoTech,8,65
202104,49141c10-2b59-4892-b10d-074e06de8889,Lisboa,CareWell,9,65
202104,08755cf4-8dbb-4338-83c1-13fcd6c028e5,Porto,VitaLife,10,25
202104,b59a2ad1-1db3-47bc-91db-98b1a9787aa4,Porto,VitaLife,10,42
202104,c3d13487-048b-4df9-be09-cfed830031da,Coimbra,MedicoTech,,5
202104,75274ac2-8944-46e8-a67d-873d3d3ff4c3,Porto,MedicoTech,10,57
202104,eb64c1f3-bf9c-4a03-bafc-5f670d338055,Lisboa,HealthPlus,2,64
202104,e55998de-ffd7-4f4f-92a7-9c02a9181970,Coimbra,MedicoTech,4,64
202104,09c7a0d9-ca81-403c-ae5b-e373e7461ccd,Porto,HealthPlus,5,64
202104,f80d91e7-d436-448d-9962-6d4502d8aaab,Lisboa,CareWell,7,64
202104,0cfff996-d1c9-4795-8275-c97a49147cf2,Lisboa,VitaLife,10,23
202104,f8468aae-4cef-41fe-8484-aa688b524e89,Porto,MedicoTech,10,5
202104,c80a9e3c-b683-4d6b-8dfb-9192f921594a,Coimbra,VitaLife,,4
202104,294d9f92-3318-4a9b-822d-fd7164474b2d,Lisboa,VitaLife,10,20
202104,c569bfb8-236f-4795-aab2-c140c7aef61c,Lisboa,MedicoTech,7,42
202104,73348634-c56a-46cf-955e-77496cd4d198,Coimbra,MedicoTech,8,42
202104,0dd504fe-db23-4624-9de7-55ab95babb3c,Coimbra,MedicoTech,10,5
202104,7baf7d41-b90f-462f-a544-85f9a7850572,Porto,MedicoTech,8,62
202104,0dfeddf5-14eb-44ec-adc8-6eb41c00d535,Lisboa,CareWell,9,62
202104,9ed41a2d-841b-483e-9e52-ce7d72ad660d,Coimbra,MedicoTech,10,62
202104,855f65cb-1195-450d-8100-ad37bd4a052a,Lisboa,HealthPlus,10,5
202104,d91ac0ef-bb8e-4ef8-b42a-a950008ff64d,Lisboa,HealthPlus,8,27
202104,2731c53d-db2f-4ed2-beff-2cac1d37dfa0,Lisboa,MedicoTech,9,27
202104,ec99b33f-5928-40b6-8b1a-65b026f03dd7,Coimbra,HealthPlus,10,27
202104,f95b88f6-a7b7-48de-a8f3-7ac08d534257,Coimbra,MedicoTech,10,7
202104,2e408f82-8b3d-4eb6-bdb8-762c6014e06f,Porto,MedicoTech,3,5
202104,b51ee81d-2218-4300-9001-43e6e64fe23f,Lisboa,VitaLife,4,5
202104,caf5700a-207b-4dbd-9ad4-a4552c07f97f,Coimbra,CareWell,6,5
